FBtr0475186	CR11023-RE	FBgn0031208	CR11023
FBtr0302196	CG31975-RC	FBgn0051975	CG31975
FBtr0302195	CG31975-RB	FBgn0051975	CG31975
FBtr0300987	CG31974-RB	FBgn0051974	CG31974
FBtr0330644	CG31974-RC	FBgn0051974	CG31974
FBtr0330645	CG31974-RD	FBgn0051974	CG31974
FBtr0078116	CG11454-RA	FBgn0031224	CG11454
FBtr0330643	CG42399-RC	FBgn0259818	CG42399
FBtr0301929	CG42399-RB	FBgn0259818	CG42399
FBtr0078147	CG3709-RA	FBgn0031227	CG3709
FBtr0330642	ND-15-RK	FBgn0031228	ND-15
FBtr0330641	ND-15-RJ	FBgn0031228	ND-15
FBtr0301886	ND-15-RC	FBgn0031228	ND-15
FBtr0301887	ND-15-RD	FBgn0031228	ND-15
FBtr0078117	ND-15-RA	FBgn0031228	ND-15
FBtr0078118	ND-15-RB	FBgn0031228	ND-15
FBtr0330640	ND-15-RI	FBgn0031228	ND-15
FBtr0340650	CG3436-RC	FBgn0031229	CG3436
FBtr0078119	CG3436-RA	FBgn0031229	CG3436
FBtr0091612	CG33635-RA	FBgn0053635	CG33635
FBtr0306341	spen-RD	FBgn0016977	spen
FBtr0330652	spen-RE	FBgn0016977	spen
FBtr0332336	spen-RG	FBgn0016977	spen
FBtr0078121	spen-RB	FBgn0016977	spen
FBtr0078122	spen-RA	FBgn0016977	spen
FBti0060558-RA	FBti0060558	FBti0060558	FBti0060558
FBti0060559-RA	FBti0060559	FBti0060559	FBti0060559
FBti0019095-RA	FBti0019095	FBti0019095	FBti0019095
FBti0060560-RA	FBti0060560	FBti0060560	FBti0060560
FBti0060561-RA	FBti0060561	FBti0060561	FBti0060561
FBtr0332337	spen-RH	FBgn0016977	spen
FBtr0078123	spen-RC	FBgn0016977	spen
FBtr0330653	spen-RF	FBgn0016977	spen
FBtr0078124	mRpL10-RA	FBgn0031231	mRpL10
FBtr0078146	CG11617-RA	FBgn0031232	CG11617
FBtr0308246	CG11617-RB	FBgn0031232	CG11617
FBtr0332338	Tbc1d15-17-RB	FBgn0031233	Tbc1d15-17
FBtr0078125	Tbc1d15-17-RA	FBgn0031233	Tbc1d15-17
FBtr0332339	Tbc1d15-17-RC	FBgn0031233	Tbc1d15-17
FBtr0078144	kis-RA	FBgn0266557	kis
FBtr0308255	kis-RF	FBgn0266557	kis
FBtr0308254	kis-RE	FBgn0266557	kis
FBtr0078145	kis-RB	FBgn0266557	kis
FBtr0308253	kis-RD	FBgn0266557	kis
FBtr0299837	kis-RC	FBgn0266557	kis
FBtr0336984	lncRNA:CR44220-RA	FBgn0265151	lncRNA:CR44220
FBtr0336985	lncRNA:CR44222-RA	FBgn0265153	lncRNA:CR44222
FBtr0336986	lncRNA:CR44221-RA	FBgn0265152	lncRNA:CR44221
FBtr0309764	snoRNA:kis-a-RA	FBgn0263465	snoRNA:kis-a
FBtr0078126	CG13693-RA	FBgn0031235	CG13693
FBtr0304343	mir-965-RM	FBgn0262252	mir-965
FBtr0304344	mir-965-RA	FBtr0304344_df_nrg	FBtr0304344_df_nrg
FBtr0472777	mir-965-RB	FBtr0472777_df_nrg	FBtr0472777_df_nrg
FBtr0336987	lncRNA:CR44218-RA	FBgn0265149	lncRNA:CR44218
FBtr0336990	Rpp30-RB	FBgn0283652	Rpp30
FBtr0078143	Rpp30-RA	FBgn0283652	Rpp30
FBtr0078140	CG3645-RA	FBgn0031238	CG3645
FBtr0078141	CG3645-RB	FBgn0031238	CG3645
FBtr0336989	CG3645-RC	FBgn0031238	CG3645
FBtr0308252	CG17075-RB	FBgn0031239	CG17075
FBtr0336988	lncRNA:CR44219-RA	FBgn0265150	lncRNA:CR44219
FBtr0078142	CG17075-RA	FBgn0031239	CG17075
FBtr0078127	CG3345-RA	FBgn0031240	CG3345
FBtr0078139	mbm-RA	FBgn0086912	mbm
FBtr0343777	CG11555-RB	FBgn0086856	CG11555
FBtr0078128	CG11555-RA	FBgn0086856	CG11555
FBtr0330649	CG17078-RD	FBgn0086855	CG17078
FBtr0330648	CG17078-RC	FBgn0086855	CG17078
FBtr0330650	CG17078-RE	FBgn0086855	CG17078
FBtr0300804	CG17078-RB	FBgn0086855	CG17078
FBtr0078129	smo-RA	FBgn0003444	smo
FBtr0343780	CG11601-RC	FBgn0031244	CG11601
FBtr0078137	CG11601-RA	FBgn0031244	CG11601
FBtr0343779	CG11601-RB	FBgn0031244	CG11601
FBtr0113009	CG3625-RC	FBgn0031245	CG3625
FBtr0343778	CG3625-RE	FBgn0031245	CG3625
FBtr0078136	CG3625-RB	FBgn0031245	CG3625
FBtr0078135	CG3625-RA	FBgn0031245	CG3625
FBtr0347594	asRNA:CR46262-RA	FBgn0267995	asRNA:CR46262
FBtr0347595	asRNA:CR46263-RA	FBgn0267996	asRNA:CR46263
FBtr0330647	Amnionless-RB	FBgn0025686	Amnionless
FBtr0078134	Amnionless-RA	FBgn0025686	Amnionless
FBtr0078130	CG11562-RA	FBgn0031247	CG11562
FBtr0333408	U2af38-RB	FBgn0017457	U2af38
FBtr0078133	U2af38-RA	FBgn0017457	U2af38
FBtr0078131	Stip1-RA	FBgn0024352	Stip1
FBtr0331205	Pi3K21B-RB	FBgn0020622	Pi3K21B
FBtr0331208	Pi3K21B-RE	FBgn0020622	Pi3K21B
FBtr0331206	Pi3K21B-RC	FBgn0020622	Pi3K21B
FBtr0331207	Pi3K21B-RD	FBgn0020622	Pi3K21B
FBtr0330673	Plc21C-RG	FBgn0004611	Plc21C
FBtr0078049	Plc21C-RC	FBgn0004611	Plc21C
FBtr0078047	Plc21C-RA	FBgn0004611	Plc21C
FBtr0329830	lncRNA:CR43719-RA	FBgn0263872	lncRNA:CR43719
FBtr0344144	lncRNA:CR43719-RB	FBgn0263872	lncRNA:CR43719
FBtr0330674	Plc21C-RH	FBgn0004611	Plc21C
FBtr0078048	Plc21C-RB	FBgn0004611	Plc21C
FBtr0078050	Plc21C-RD	FBgn0004611	Plc21C
FBtr0078099	CG11912-RA	FBgn0031248	CG11912
FBtr0078098	CG11911-RA	FBgn0031249	CG11911
FBtr0078052	CG33127-RA	FBgn0053127	CG33127
FBtr0330695	CG43755-RD	FBgn0264086	CG43755
FBtr0330696	CG43755-RB	FBgn0264086	CG43755
FBtr0078096	CG31921-RA	FBgn0051921	CG31921
FBti0019096-RA	FBti0019096	FBti0019096	FBti0019096
FBtr0330651	Ent1-RC	FBgn0031250	Ent1
FBtr0078095	Ent1-RB	FBgn0031250	Ent1
FBtr0078094	Ent1-RA	FBgn0031250	Ent1
FBtr0345774	asRNA:CR45367-RA	FBgn0266907	asRNA:CR45367
FBtr0345775	asRNA:CR45366-RA	FBgn0266906	asRNA:CR45366
FBtr0078053	al-RA	FBgn0000061	al
FBtr0329831	lncRNA:CR43718-RA	FBgn0263871	lncRNA:CR43718
FBtr0331204	CG4213-RB	FBgn0031251	CG4213
FBtr0078093	CG4213-RA	FBgn0031251	CG4213
FBtr0078054	RpI135-RA	FBgn0003278	RpI135
FBtr0089488	AP-2alpha-RA	FBgn0264855	AP-2alpha
FBtr0089489	AP-2alpha-RB	FBgn0264855	AP-2alpha
FBtr0078055	ebi-RA	FBgn0263933	ebi
FBtr0078090	CG13690-RA	FBgn0031252	CG13690
FBtr0331932	RpLP1-RB	FBgn0002593	RpLP1
FBtr0078056	RpLP1-RA	FBgn0002593	RpLP1
FBtr0078089	CG11885-RA	FBgn0031253	CG11885
FBtr0078057	CG13692-RA	FBgn0031254	CG13692
FBtr0078058	BBS8-RA	FBgn0031255	BBS8
FBtr0329832	ex-RB	FBgn0004583	ex
FBtr0078059	ex-RA	FBgn0004583	ex
FBtr0329833	lncRNA:CR43717-RA	FBgn0263870	lncRNA:CR43717
FBtr0331233	crq-RE	FBgn0015924	crq
FBtr0078087	crq-RA	FBgn0015924	crq
FBtr0304741	crq-RC	FBgn0015924	crq
FBtr0078088	crq-RB	FBgn0015924	crq
FBtr0331232	crq-RD	FBgn0015924	crq
FBti0063763-RA	FBti0063763	FBti0063763	FBti0063763
FBtr0078060	shv-RA	FBgn0031256	shv
FBtr0305350	CR43080-RB	FBgn0262510	CR43080
FBtr0078061	CG4133-RA	FBgn0031257	CG4133
FBtr0331231	CG4133-RC	FBgn0031257	CG4133
FBtr0331230	CG4133-RB	FBgn0031257	CG4133
FBtr0310034	CG4297-RC	FBgn0031258	CG4297
FBtr0310035	CG4297-RD	FBgn0031258	CG4297
FBtr0078062	MED15-RA	FBgn0027592	MED15
FBtr0333012	ush-RD	FBgn0003963	ush
FBtr0333013	ush-RE	FBgn0003963	ush
FBtr0078083	cbt-RA	FBgn0043364	cbt
FBtr0078084	cbt-RB	FBgn0043364	cbt
FBtr0310030	cbt-RC	FBgn0043364	cbt
FBtr0347589	lncRNA:CR46258-RA	FBgn0267991	lncRNA:CR46258
FBtr0310027	ush-RB	FBgn0003963	ush
FBtr0347590	lncRNA:CR46258-RB	FBgn0267991	lncRNA:CR46258
FBtr0347591	lncRNA:CR46259-RA	FBgn0267992	lncRNA:CR46259
FBtr0078063	ush-RA	FBgn0003963	ush
FBtr0329895	ush-RC	FBgn0003963	ush
FBtr0310028	lwr-RC	FBgn0010602	lwr
FBtr0078082	lwr-RB	FBgn0010602	lwr
FBtr0310029	lwr-RD	FBgn0010602	lwr
FBtr0078081	lwr-RA	FBgn0010602	lwr
FBtr0078080	Spp-RA	FBgn0031260	Spp
FBtr0344014	Ets21C-RC	FBgn0005660	Ets21C
FBtr0078064	nAChRbeta3-RA	FBgn0031261	nAChRbeta3
FBtr0112854	Ets21C-RB	FBgn0005660	Ets21C
FBtr0345429	Ets21C-RD	FBgn0005660	Ets21C
FBtr0078079	Ets21C-RA	FBgn0005660	Ets21C
FBtr0078078	rempA-RB	FBgn0260933	rempA
FBtr0303763	rempA-RC	FBgn0260933	rempA
FBtr0078066	Tspo-RA	FBgn0031263	Tspo
FBtr0332342	CG11835-RC	FBgn0031264	CG11835
FBtr0332341	CG11835-RB	FBgn0031264	CG11835
FBtr0345577	CG11835-RD	FBgn0031264	CG11835
FBtr0078076	CG11835-RA	FBgn0031264	CG11835
FBtr0078067	CG2794-RA	FBgn0031265	CG2794
FBtr0078075	Nle-RA	FBgn0021874	Nle
FBtr0332340	Sf3b1-RB	FBgn0031266	Sf3b1
FBtr0078068	Sf3b1-RA	FBgn0031266	Sf3b1
FBtr0078074	Ipk2-RA	FBgn0031267	Ipk2
FBtr0310022	cold-RB	FBgn0031268	cold
FBtr0078069	cold-RA	FBgn0031268	cold
FBtr0346650	Ptth-RF	FBgn0013323	Ptth
FBtr0346726	Ptth-RG	FBgn0013323	Ptth
FBtr0333746	Ptth-RE	FBgn0013323	Ptth
FBtr0078070	Pph13-RA	FBgn0023489	Pph13
FBtr0347398	Gsc-RE	FBgn0010323	Gsc
FBtr0343221	Gsc-RD	FBgn0010323	Gsc
FBtr0343220	Gsc-RC	FBgn0010323	Gsc
FBtr0347397	lncRNA:CR46148-RA	FBgn0267827	lncRNA:CR46148
FBtr0445834	lncRNA:CR46148-RB	FBgn0267827	lncRNA:CR46148
FBtr0078071	CG13689-RA	FBgn0031270	CG13689
FBtr0310023	CG13689-RB	FBgn0031270	CG13689
FBtr0343219	lncRNA:CR43648-RB	FBgn0263657	lncRNA:CR43648
FBtr0310101	lncRNA:CR43649-RA	FBgn0263658	lncRNA:CR43649
FBtr0308305	lectin-21Cb-RB	FBgn0040106	lectin-21Cb
FBtr0343248	lncRNA:CR44797-RA	FBgn0266032	lncRNA:CR44797
FBtr0343250	lncRNA:CR44798-RA	FBgn0266033	lncRNA:CR44798
FBtr0077998	lectin-21Ca-RA	FBgn0040107	lectin-21Ca
FBtr0077999	CG2839-RA	FBgn0031273	CG2839
FBtr0345777	lncRNA:CR45369-RA	FBgn0266909	lncRNA:CR45369
FBti0060585-RA	FBti0060585	FBti0060585	FBti0060585
FBtr0078045	ds-RA	FBgn0284247	ds
FBtr0343249	ds-RB	FBgn0284247	ds
FBti0019098-RA	FBti0019098	FBti0019098	FBti0019098
FBtr0344054	lncRNA:CR44988-RA	FBgn0266323	lncRNA:CR44988
FBtr0347592	lncRNA:CR46260-RA	FBgn0267993	lncRNA:CR46260
FBtr0078000	Hsp60B-RA	FBgn0011244	Hsp60B
FBtr0301317	Eaat2-RD	FBgn0026438	Eaat2
FBtr0078043	Eaat2-RA	FBgn0026438	Eaat2
FBtr0301316	Eaat2-RC	FBgn0026438	Eaat2
FBtr0343785	GABA-B-R3-RE	FBgn0031275	GABA-B-R3
FBtr0343787	GABA-B-R3-RG	FBgn0031275	GABA-B-R3
FBtr0308257	GABA-B-R3-RD	FBgn0031275	GABA-B-R3
FBtr0078001	GABA-B-R3-RA	FBgn0031275	GABA-B-R3
FBtr0343786	GABA-B-R3-RF	FBgn0031275	GABA-B-R3
FBtr0346526	GABA-B-R3-RH	FBgn0031275	GABA-B-R3
FBtr0301439	GABA-B-R3-RC	FBgn0031275	GABA-B-R3
FBti0019099-RA	FBti0019099	FBti0019099	FBti0019099
FBtr0342660	lncRNA:CR44614-RA	FBgn0265825	lncRNA:CR44614
FBtr0078003	CG12506-RA	FBgn0031276	CG12506
FBtr0078004	CG13946-RA	FBgn0040725	CG13946
FBtr0078005	CG13947-RA	FBgn0031277	CG13947
FBtr0078006	Gr21a-RA	FBgn0041250	Gr21a
FBtr0331651	Gr21a-RB	FBgn0041250	Gr21a
FBtr0331652	CG3544-RB	FBgn0031279	CG3544
FBtr0078007	CG3544-RA	FBgn0031279	CG3544
FBtr0078042	Pkg21D-RA	FBgn0000442	Pkg21D
FBtr0345453	lncRNA:CR45259-RA	FBgn0266797	lncRNA:CR45259
FBtr0078008	Nnf1b-RA	FBgn0051658	Nnf1b
FBtr0078009	Dbp21E2-RA	FBgn0086130	Dbp21E2
FBtr0078041	Saf6-RA	FBgn0031281	Saf6
FBtr0332974	Saf6-RB	FBgn0031281	Saf6
FBtr0332972	Pex12-RB	FBgn0031282	Pex12
FBtr0078010	Pex12-RA	FBgn0031282	Pex12
FBtr0078040	CG15880-RA	FBgn0031283	CG15880
FBtr0078039	PGAP2-RA	FBgn0031284	PGAP2
FBtr0078011	Clp-RA	FBgn0015621	Clp
FBtr0305507	CG3662-RD	FBgn0031285	CG3662
FBtr0301908	CG3662-RC	FBgn0031285	CG3662
FBtr0078012	CG3662-RA	FBgn0031285	CG3662
FBtr0100469	CG3662-RB	FBgn0031285	CG3662
FBtr0078038	CG3862-RA	FBgn0031286	CG3862
FBtr0078014	dock-RB	FBgn0010583	dock
FBtr0078013	dock-RA	FBgn0010583	dock
FBtr0078015	dock-RC	FBgn0010583	dock
FBtr0332973	dock-RD	FBgn0010583	dock
FBtr0302121	drongo-RG	FBgn0020304	drongo
FBtr0302612	drongo-RH	FBgn0020304	drongo
FBtr0302120	drongo-RF	FBgn0020304	drongo
FBtr0078037	drongo-RC	FBgn0020304	drongo
FBtr0334763	drongo-RI	FBgn0020304	drongo
FBtr0334793	lncRNA:CR44060-RA	FBgn0264869	lncRNA:CR44060
FBtr0334797	CG4291-RB	FBgn0031287	CG4291
FBtr0078034	CG4291-RA	FBgn0031287	CG4291
FBtr0078016	kraken-RA	FBgn0020545	kraken
FBtr0334794	kraken-RB	FBgn0020545	kraken
FBtr0078017	CG13949-RA	FBgn0031288	CG13949
FBtr0334796	CG13949-RC	FBgn0031288	CG13949
FBtr0334795	CG13949-RB	FBgn0031288	CG13949
FBtr0445831	lncRNA:CR45345-RB	FBgn0266884	lncRNA:CR45345
FBtr0304182	mir-375-RM	FBgn0262177	mir-375
FBtr0472769	mir-375-RB	FBtr0472769_df_nrg	FBtr0472769_df_nrg
FBtr0304183	mir-375-RA	FBtr0304183_df_nrg	FBtr0304183_df_nrg
FBtr0445832	CG13950-RB	FBgn0031289	CG13950
FBtr0078018	CG13950-RA	FBgn0031289	CG13950
FBtr0078032	aru-RC	FBgn0029095	aru
FBtr0078033	aru-RA	FBgn0029095	aru
FBtr0078031	aru-RD	FBgn0029095	aru
FBtr0114307	snoRNA:Me28S-U1230-RA	FBgn0086031	snoRNA:Me28S-U1230
FBtr0078030	dbe-RA	FBgn0020305	dbe
FBtr0091489	PNUTS-RD	FBgn0053526	PNUTS
FBtr0091487	PNUTS-RB	FBgn0053526	PNUTS
FBtr0332000	PNUTS-RE	FBgn0053526	PNUTS
FBtr0091486	PNUTS-RA	FBgn0053526	PNUTS
FBtr0345634	CG15824-RC	FBgn0031292	CG15824
FBtr0078023	ninaA-RA	FBgn0002936	ninaA
FBtr0332181	CG15824-RB	FBgn0031292	CG15824
FBtr0345739	lncRNA:CR45348-RA	FBgn0266887	lncRNA:CR45348
FBtr0345738	Lsp1beta-RB	FBgn0002563	Lsp1beta
FBtr0078025	Lsp1beta-RA	FBgn0002563	Lsp1beta
FBtr0078028	snRNA:U1:21D-RA	FBgn0003916	snRNA:U1:21D
FBtr0474086	scaRNA:MeU1:95C-A24-RA	FBgn0286735	scaRNA:MeU1:95C-A24
FBtr0345455	lncRNA:CR45261-RA	FBgn0266799	lncRNA:CR45261
FBtr0334798	lncRNA:CR44061-RA	FBgn0264870	lncRNA:CR44061
FBtr0336969	GluRIIC-RD	FBgn0046113	GluRIIC
FBtr0077949	CG4341-RA	FBgn0028481	CG4341
FBtr0305064	CG4341-RC	FBgn0028481	CG4341
FBti0019100-RA	FBti0019100	FBti0019100	FBti0019100
FBtr0445830	lncRNA:CR44801-RB	FBgn0266036	lncRNA:CR44801
FBtr0343253	lncRNA:CR44801-RA	FBgn0266036	lncRNA:CR44801
FBti0019101-RA	FBti0019101	FBti0019101	FBti0019101
FBtr0301417	IA-2-RD	FBgn0031294	IA-2
FBtr0301416	IA-2-RC	FBgn0031294	IA-2
FBtr0332270	IA-2-RE	FBgn0031294	IA-2
FBtr0479958	asRNA:CR46486-RA	FBgn0287617	asRNA:CR46486
FBtr0077997	CG4375-RA	FBgn0031295	CG4375
FBtr0077951	CG4415-RA	FBgn0031296	CG4415
FBtr0301087	CG4415-RB	FBgn0031296	CG4415
FBtr0077993	S-RB	FBgn0003310	S
FBtr0077994	S-RA	FBgn0003310	S
FBtr0077952	ast-RA	FBgn0015905	ast
FBtr0332569	Atg4a-RB	FBgn0031298	Atg4a
FBtr0077953	Atg4a-RA	FBgn0031298	Atg4a
FBtr0332570	CG4629-RE	FBgn0031299	CG4629
FBtr0332571	CG4629-RF	FBgn0031299	CG4629
FBtr0332273	mtRNApol-RB	FBgn0261938	mtRNApol
FBtr0077989	mtRNApol-RA	FBgn0261938	mtRNApol
FBtr0077954	CG14339-RA	FBgn0031301	CG14339
FBtr0077955	CG14340-RA	FBgn0031302	CG14340
FBtr0077988	Pino-RA	FBgn0016926	Pino
FBtr0332272	Pino-RC	FBgn0016926	Pino
FBtr0077987	Pino-RB	FBgn0016926	Pino
FBtr0077956	TBC1D23-RA	FBgn0031304	TBC1D23
FBtr0077986	Iris-RA	FBgn0031305	Iris
FBtr0332271	CG4577-RB	FBgn0031306	CG4577
FBtr0077957	CG4577-RA	FBgn0031306	CG4577
FBtr0346497	lncRNA:CR45717-RA	FBgn0267281	lncRNA:CR45717
FBtr0077958	MFS3-RA	FBgn0031307	MFS3
FBtr0077959	l(2)10685-RA	FBgn0283525	l(2)10685
FBtr0077985	Tfb4-RA	FBgn0031309	Tfb4
FBtr0077960	Vps29-RA	FBgn0031310	Vps29
FBtr0332274	capt-RC	FBgn0261458	capt
FBtr0100022	capt-RA	FBgn0261458	capt
FBtr0100023	capt-RB	FBgn0261458	capt
FBtr0331290	asRNA:CR43767-RA	FBgn0264267	asRNA:CR43767
FBtr0331287	Tango14-RB	FBgn0031312	Tango14
FBtr0077961	Tango14-RA	FBgn0031312	Tango14
FBtr0331289	CG5080-RC	FBgn0031313	CG5080
FBtr0077982	CG5080-RA	FBgn0031313	CG5080
FBtr0077981	CG5080-RB	FBgn0031313	CG5080
FBtr0077962	IntS14-RA	FBgn0031314	IntS14
FBtr0077964	CG14341-RB	FBgn0031315	CG14341
FBtr0344015	Plap-RC	FBgn0024314	Plap
FBtr0077980	Plap-RA	FBgn0024314	Plap
FBtr0304710	Plap-RB	FBgn0024314	Plap
FBtr0077965	CG31922-RA	FBgn0051922	CG31922
FBtr0077979	Charon-RA	FBgn0031317	Charon
FBtr0331288	CG4887-RB	FBgn0031318	CG4887
FBtr0077966	CG4887-RA	FBgn0031318	CG4887
FBtr0335395	CG4896-RJ	FBgn0031319	CG4896
FBtr0335394	CG4896-RI	FBgn0031319	CG4896
FBtr0077968	CG4896-RD	FBgn0031319	CG4896
FBtr0344790	CG4896-RK	FBgn0031319	CG4896
FBtr0308698	CG4896-RG	FBgn0031319	CG4896
FBtr0077978	CG5126-RA	FBgn0031320	CG5126
FBtr0077971	Tgt-RA	FBgn0031321	Tgt
FBtr0307056	CG5001-RB	FBgn0031322	CG5001
FBtr0335379	CG5001-RD	FBgn0031322	CG5001
FBtr0077972	CG5001-RA	FBgn0031322	CG5001
FBtr0307057	CG5001-RC	FBgn0031322	CG5001
FBtr0077977	CG5139-RA	FBgn0031323	CG5139
FBtr0335380	CG43348-RB	FBgn0263080	CG43348
FBtr0307096	CG43348-RA	FBgn0263080	CG43348
FBtr0335381	CG43349-RB	FBgn0263081	CG43349
FBtr0307097	CG43349-RA	FBgn0263081	CG43349
FBtr0335382	CG5011-RB	FBgn0040723	CG5011
FBtr0077973	CG5011-RA	FBgn0040723	CG5011
FBtr0114498	CG14342-RB	FBgn0031324	CG14342
FBtr0345742	lncRNA:CR45346-RA	FBgn0266885	lncRNA:CR45346
FBtr0306546	lncRNA:CR43263-RA	FBgn0262944	lncRNA:CR43263
FBtr0299796	CG42329-RA	FBgn0259229	CG42329
FBti0019102-RA	FBti0019102	FBti0019102	FBti0019102
FBtr0335383	CG5397-RB	FBgn0031327	CG5397
FBtr0077920	CG5397-RA	FBgn0031327	CG5397
FBtr0479835	robo3-RC	FBgn0041097	robo3
FBtr0077921	robo3-RA	FBgn0041097	robo3
FBti0019103-RA	FBti0019103	FBti0019103	FBti0019103
